,Acinar,Alpha,Beta,Delta,Ductal,Endothelial,Gamma,MHCII,Mast,Pancreatic Stellate
DUOXA2,1.0682218270126492e-34,1.3263095733113935e-15,0.027056354749685353,0.25341967857566666,5.164363704815775e-15,0.4627706805754615,0.012328902451414755,0.9999510164979749,0.8326292200151983,0.18416734789639494
FN3KRP,0.48533929979787505,6.701586896320182e-05,0.999519512745119,0.08045572593211818,1.4227274914963627e-10,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.4597390535488858,0.998933473743147
LINC01425,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
NEK4,1.830762021878533e-05,0.0004613224172378745,0.010196131786523344,1.0,1.7262786187695578e-06,0.5737887704839951,0.611172291042964,0.9999510164979749,0.3840057924623961,0.7810933156255763
CXCL14,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
SNORA11,0.9950019007109834,0.9984213551874129,0.8088665907831728,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
TAF5,0.7556102406872358,0.4467331566594376,0.4396461199670168,0.9473579677113004,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
PHTF1,0.023903462320944455,0.6865823945533049,0.001011175389099764,0.1631017661848607,0.0005377874486472596,0.7409139635992996,0.9999768616410615,0.9999510164979749,0.999670996610969,0.724669354394711
LMBRD1,0.0038647566790888854,0.026219789915956884,0.999519512745119,0.8192288559619952,2.365324677113258e-11,0.08508150057846112,0.1558937473923564,0.8191721305883004,0.22556216627506911,2.8017760513963473e-09
VCP,0.17295917681174577,1.3507167756336976e-25,0.41662699581553014,0.0019243828115181774,6.896695581932e-38,2.5794872521805258e-05,0.00013472185568435532,0.7236967706472599,0.5404825755725297,5.908658838262892e-08
N6AMT1,0.8505794583254095,0.0008701969128513955,0.05994095125042315,0.6603873556941846,0.15372943503096664,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.7476505789780145,0.6427642208279706
C11orf96,0.99875358821529,0.00399573804785095,0.2950878587684719,1.0,0.27756258191819916,0.8497099683307632,0.13325705030350163,0.9999510164979749,0.999670996610969,2.3379243055284306e-28
CFDP1,3.625253363435738e-07,0.021600492563909463,0.005890005322939282,0.25490340372490855,0.14300680147680725,0.9991874004493209,0.2197315627677403,0.8396568698700501,0.008839003463290347,0.998933473743147
TP53TG1,8.692559161465506e-08,7.967840984148057e-11,0.3374500773611993,1.0,0.13257571722269115,0.029949485058080955,0.07048113799175822,0.46694800042347084,0.09388488590519388,4.8639200916080674e-05
G6PC2,2.2148297982500755e-31,6.47227944555083e-48,2.0314424012530413e-97,1.986992618790873e-12,4.253438411681902e-93,0.0034492926682297225,0.003278860978461087,0.2559283787014247,0.35020329358316693,2.2410803936054152e-11
FCHO1,0.9393897569656428,0.990792571976335,0.999519512745119,1.0,0.6843016958540188,0.9991874004493209,0.8741155730903105,0.9999510164979749,0.999670996610969,0.7595758436763628
NASP,0.99875358821529,2.3688551757490407e-07,3.73959439802769e-05,1.0,6.770279596373813e-17,0.2581268039607173,0.6174207486716173,0.9999510164979749,0.999670996610969,0.0007966261444186723
ARID1B,0.09763357180225497,0.1046557980266451,0.014553590602709016,0.3073838789321037,0.005479647786347752,0.9991874004493209,0.6110971374852722,0.9999510164979749,0.7085228889259582,0.34362824061957076
FAM180A,0.99875358821529,0.695043809994749,0.999519512745119,1.0,0.9787311191579787,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,2.2565469106802196e-05
TMEM60,1.1687045892668661e-07,4.74365684349634e-23,0.9611041002250594,1.0,7.951264239654005e-11,0.060845054730738445,0.9999768616410615,0.9999510164979749,0.32486780563677625,0.41403567865698265
SLC25A44,0.04925012806757495,0.9984213551874129,0.02719050072143712,0.2199211841512207,2.6133330533327293e-06,0.9991874004493209,0.9583302698660233,0.9999510164979749,0.45683992149879743,0.998933473743147
IGF2-AS,0.8490059375229783,0.1004636564882949,2.7651701691835823e-09,1.0,0.6366190854023984,0.9991874004493209,0.8210005068599936,0.9999510164979749,0.999670996610969,0.998933473743147
DCLK1,0.03729141213301714,0.2741234194968769,0.999519512745119,0.7021289778604848,0.8995760194069012,0.9991874004493209,0.9730867583067255,0.9999510164979749,0.999670996610969,0.240476085654054
GSDMA,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
ANKRD34C,0.7333872362105583,0.7239665269480761,0.04579191696303901,0.7995368905204464,0.53667644775901,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
ADM2,8.172180457833379e-21,8.675691716266792e-05,0.999519512745119,0.9487551888437264,0.8293720900662152,0.9991874004493209,0.05073142306676346,0.9999510164979749,0.999670996610969,0.000152164353245221
SNORA51,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
LRRIQ1,0.7431624806356529,0.001593121231962958,0.9204984356676749,1.0,8.431228955292229e-10,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.5803138788146842
GNPTG,0.0011931460965108535,1.0413033629318077e-11,0.999519512745119,0.00034313078343884193,0.9989930693096231,0.021101219802645704,0.01355313353223226,0.9999510164979749,0.30089226284857834,0.7173611992477703
NT5C,1.2972157939576806e-05,0.0024986791796914477,0.00039662929703102566,0.23961695641484246,3.547926852567009e-27,0.016078812516983447,6.5259718668748e-13,0.9999510164979749,0.999670996610969,0.18466349686795427
JRKL,0.40457182805889574,0.13501839093849294,0.0004883468308633591,0.10995792506044107,1.0400981326380472e-07,0.3297804866116154,0.8385883818931146,0.9999510164979749,0.999670996610969,0.01809765231313677
MLLT4-AS1,0.99875358821529,0.0733649000653055,0.5609126543790769,1.0,6.24210049227041e-08,0.9776050984360366,0.6805220411985997,0.9999510164979749,0.999670996610969,0.5138860759321541
CR1L,0.99875358821529,0.9678213357383415,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
GOPC,0.003606164432164304,0.9984213551874129,0.6717387714085837,0.2844205707516392,0.01894435166203826,0.32250997408434157,0.001128351498486443,0.9999510164979749,0.999670996610969,0.16923684777024162
VPS4A,9.684787985346414e-08,1.1508387120997356e-05,0.999519512745119,0.0027478016627239476,3.159819907575693e-09,0.9991874004493209,0.0033377256992694585,0.9999510164979749,0.5206637809529305,0.3126791519982403
TAS2R1,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
PPHLN1,0.7708244709977377,1.4750340079127834e-05,0.999519512745119,1.0,3.7594430865766554e-08,0.26530880085892083,0.9701419101426112,0.9999510164979749,0.927514440682629,0.5103683223810026
VPS29,0.20057555720291353,2.7052086705437256e-12,0.09923978563926247,0.27227454579905935,9.587060057802712e-23,0.3933543167071853,0.66272542382209,0.15789923416611695,0.7078599673716897,0.998933473743147
LINC00486,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
MTMR3,3.039897478414956e-05,3.6037945790389644e-05,0.011686065799922594,1.0,0.5715281171030272,0.9991874004493209,0.0013767997775023762,0.9999510164979749,0.1955751713747674,0.004860285673002981
C19orf12,8.50943167795612e-06,0.05107540718547694,0.025561720397251367,0.0746505089119016,0.001765465283117869,0.080203660493379,0.7189464651287726,0.9999510164979749,0.5256658526684429,0.01065494970329925
C11orf97,0.99875358821529,0.9492549462414622,0.999519512745119,1.0,0.5111741548930577,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
ARPC2,0.03276416000543024,2.517701354447954e-11,1.8696883029958677e-12,1.7923957376125784e-13,5.674122085643113e-52,4.844347565721466e-06,2.0069298436690624e-11,0.007672061671765764,0.01981529379174648,7.0316357243887855e-31
C20orf202,0.99875358821529,0.937848780404258,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
SF3B6,0.14375673975423844,6.180497456708811e-06,0.9577934340405894,0.3695206813922459,4.588436551608359e-16,0.09952081852510493,0.3893389506288615,0.9999510164979749,0.7888550152303075,0.10401513576773058
CELF6,3.12523547359374e-05,1.4599634417797025e-08,0.999519512745119,0.1332228015756406,4.833300566514972e-11,0.5341234556882455,0.008340172068408612,0.9999510164979749,0.8369014890362119,0.0907934328364157
ENTPD1,0.12087384712928688,0.9080442647991872,0.999519512745119,0.9473579677113004,0.13241007097302593,0.005433435408748893,0.9452764324881426,0.9999510164979749,0.999670996610969,0.998933473743147
